ID,STATE_CODE,CITY,LAT,LONG,POP
4074452,AL,Malvern,31.13934,-85.5191,1446
4074544,AL,Maplesville,32.78897,-86.87353,704
4074568,AL,Marbury,32.70124,-86.47109,1418
4074599,AL,Margaret,33.68621,-86.47498,4554
4074673,AL,Marion,32.63235,-87.31917,3447
4074991,AL,Matthews,32.26542,-86.00385,593
4075138,AL,Maytown,33.53594,-86.99722,374
4075368,AL,McDonald Chapel,33.52177,-86.9336,717
4075481,AL,McIntosh,31.26628,-88.03139,226
4075526,AL,McKenzie,31.54238,-86.71497,513
4075581,AL,McMullen,33.14873,-88.17642,10
4075692,AL,Meadowbrook,33.40205,-86.69665,8769
4075759,AL,Megargel,31.37989,-87.42832,62
4075831,AL,Memphis,31.13268,-85.37549,31
4075832,AL,Memphis,33.13651,-88.29753,28
4075854,AL,Meridianville,34.85148,-86.57222,6021
4075871,AL,Mentone,34.57918,-85.59009,368
4075977,AL,Midfield,33.4615,-86.90888,5222
4075984,AL,Midland City,31.31906,-85.49382,2386
4075989,AL,Midway,32.0771,-85.52217,488
4076066,AL,Mignon,33.18345,-86.26109,1284
4076239,AL,Millbrook,32.47986,-86.36192,15314
4076341,AL,Millerville,33.19151,-85.9258,278
4076358,AL,Millport,33.56345,-88.08142,998
4076361,AL,Millry,31.63405,-88.31335,524
4076468,AL,Minor,33.53733,-86.94055,1094
4076598,AL,Mobile,30.69436,-88.04305,194288
4076725,AL,Monroeville,31.52794,-87.32471,6110
4076771,AL,Montevallo,33.10067,-86.86416,6648
4076784,AL,Montgomery,32.36681,-86.29997,200603
4076842,AL,Moody,33.59094,-86.49082,12593
4076982,AL,Moores Mill,34.84398,-86.51832,5682
4076991,AL,Mooresville,34.62642,-86.88057,58
4077143,AL,Morris,33.74816,-86.8086,1934
4077216,AL,Morrison Crossroads,33.4265,-85.49329,219
4077283,AL,Mosses,32.17459,-86.67192,955
4077329,AL,Moulton,34.48121,-87.29335,3337
4077349,AL,Moundville,32.99762,-87.63001,2460
4077865,AL,Mount Olive,33.06956,-86.13497,371
4077867,AL,Mount Olive,33.67094,-86.8561,4079
4078346,AL,Mount Vernon,34.29259,-85.78775,817
4078348,AL,Mount Vernon,31.08518,-88.01333,1518
4078646,AL,Mountain Brook,33.50094,-86.75221,20691
4078753,AL,Mountainboro,34.14704,-86.13053,333
4078764,AL,Movico,31.06462,-88.02555,305
